"ID","pid","MATINH","Urban_Rural","age","C1","C2","TOTAL_HH_member","assets_1","assets_2","assets_3","assets_4","assets_5","assets_6","assets_7","assets_8","assets_9","assets_10","assets_11","assets_12","assets_13","assets_14","assets_15","assets_16","assets_17","assets_18","assets_19","C9","C10"
"010060018707129",3,1,1,35,1,2,4,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,
"010060018707130",2,1,1,48,1,2,2,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010060018707131",3,1,1,39,1,2,4,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010060018707132",2,1,1,50,1,2,2,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010060018707139",3,1,1,33,1,2,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010060021400211",1,1,1,32,1,3,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010060021400221",1,1,1,18,1,3,3,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
"010060021400222",3,1,1,28,1,4,5,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
"010060021400223",3,1,1,52,1,4,4,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,
"010060021400224",5,1,1,49,1,4,7,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010060021400225",2,1,1,18,1,3,4,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010060021400226",4,1,1,31,1,2,4,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010060021400227",3,1,1,35,1,2,4,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,
"010060021400228",6,1,1,57,1,5,6,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010060021400229",2,1,1,57,1,3,3,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010060021400230",5,1,1,63,1,3,6,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010060021400232",2,1,1,24,1,4,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,
"010060021400235",1,1,1,16,1,4,4,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010060021400238",1,1,1,26,1,3,4,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,
"010060021400239",3,1,1,39,1,3,4,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,
"010070028000301",2,1,1,25,1,3,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010070028000305",2,1,1,34,1,2,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010070028000306",2,1,1,49,1,3,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010070028000307",2,1,1,31,1,2,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010070028000308",4,1,1,39,1,2,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010070028000314",3,1,1,36,1,2,4,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,
"010070028000315",2,1,1,28,1,4,5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
"010070028000316",2,1,1,55,1,3,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010070028000317",1,1,1,30,1,2,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010070028000319",1,1,1,18,1,4,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010070028000320",3,1,1,62,1,3,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010070028000323",1,1,1,27,1,2,2,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010070028000326",4,1,1,43,1,3,6,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010070028000327",3,1,1,40,1,1,3,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,
"010070028000333",2,1,1,36,1,2,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010080031302703",1,1,1,62,1,2,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,
"010080031302704",3,1,1,51,1,3,3,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010080031302709",1,1,1,25,1,2,3,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010080031302716",2,1,1,23,1,4,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,
"010080031302718",3,1,1,64,1,3,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,
"010080031302720",5,1,1,35,1,2,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,
"010080031302721",2,1,1,45,1,2,3,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,
"010080031302722",2,1,1,61,1,2,2,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010080031302724",4,1,1,37,1,2,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010080031302727",2,1,1,27,1,2,3,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,
"010080031302728",2,1,1,19,1,3,4,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010080031302729",1,1,1,18,1,4,5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
"010080031302731",1,1,1,18,1,3,3,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010080031302733",3,1,1,32,1,2,4,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010080031302735",1,1,1,15,1,4,6,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010090034307222",3,1,1,40,1,2,3,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010090034307223",3,1,1,39,1,3,4,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010090034307225",3,1,1,42,1,1,3,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010090034307226",2,1,1,18,1,4,4,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010090034307227",3,1,1,64,1,3,3,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,
"010090034307229",3,1,1,32,1,2,4,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010090034307232",1,1,1,20,1,3,3,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1
"010090034307233",3,1,1,48,1,1,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010090034307234",4,1,1,37,1,2,4,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010090034307235",1,1,1,20,1,3,3,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010090034307236",2,1,1,38,1,1,2,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010090034307237",3,1,1,34,1,2,4,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010090034307238",3,1,1,38,1,1,4,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
